call_id,ground_truth,failure_type
synthetic_normal_refund_0130,normal,
synthetic_normal_refund_0131,normal,
synthetic_normal_refund_0132,normal,
synthetic_normal_refund_0133,normal,
synthetic_normal_refund_0134,normal,
synthetic_normal_refund_0135,normal,
synthetic_normal_refund_0136,normal,
synthetic_normal_refund_0137,normal,
synthetic_normal_refund_0138,normal,
synthetic_normal_refund_0139,normal,
synthetic_normal_refund_0140,normal,
synthetic_normal_refund_0141,normal,
synthetic_normal_refund_0142,normal,
synthetic_normal_refund_0143,normal,
synthetic_normal_refund_0144,normal,
synthetic_normal_refund_0145,normal,
synthetic_normal_refund_0146,normal,
synthetic_normal_refund_0147,normal,
synthetic_normal_refund_0148,normal,
synthetic_normal_refund_0149,normal,
synthetic_normal_refund_0150,normal,
synthetic_normal_refund_0151,normal,
synthetic_normal_refund_0152,normal,
synthetic_normal_refund_0153,normal,
synthetic_normal_refund_0154,normal,
synthetic_normal_refund_0155,normal,
synthetic_normal_refund_0156,normal,
synthetic_normal_refund_0157,normal,
synthetic_normal_refund_0158,normal,
synthetic_normal_refund_0159,normal,
synthetic_normal_refund_0160,normal,
synthetic_normal_refund_0161,normal,
synthetic_normal_refund_0162,normal,
synthetic_normal_refund_0163,normal,
synthetic_normal_refund_0164,normal,
synthetic_normal_refund_0165,normal,
synthetic_normal_refund_0166,normal,
synthetic_normal_refund_0167,normal,
synthetic_normal_refund_0168,normal,
synthetic_normal_refund_0169,normal,
synthetic_normal_refund_0170,normal,
synthetic_normal_refund_0171,normal,
synthetic_normal_refund_0172,normal,
synthetic_normal_refund_0173,normal,
synthetic_normal_refund_0174,normal,
synthetic_normal_refund_0175,normal,
synthetic_normal_refund_0176,normal,
synthetic_normal_refund_0177,normal,
synthetic_normal_refund_0178,normal,
synthetic_normal_refund_0179,normal,
synthetic_normal_refund_0180,normal,
synthetic_normal_refund_0181,normal,
synthetic_normal_refund_0182,normal,
synthetic_normal_refund_0183,normal,
synthetic_normal_refund_0184,normal,
synthetic_normal_refund_0185,normal,
synthetic_normal_refund_0186,normal,
synthetic_normal_refund_0187,normal,
synthetic_normal_refund_0188,normal,
synthetic_normal_refund_0189,normal,
synthetic_normal_refund_0190,normal,
synthetic_normal_refund_0191,normal,
synthetic_normal_refund_0192,normal,
synthetic_normal_refund_0193,normal,
synthetic_normal_refund_0194,normal,
synthetic_normal_refund_0195,normal,
synthetic_normal_refund_0196,normal,
synthetic_normal_refund_0197,normal,
synthetic_normal_refund_0198,normal,
synthetic_normal_refund_0199,normal,
synthetic_normal_refund_0200,normal,
synthetic_normal_refund_0201,normal,
synthetic_normal_refund_0202,normal,
synthetic_normal_refund_0203,normal,
synthetic_normal_refund_0204,normal,
synthetic_normal_refund_0205,normal,
synthetic_normal_refund_0206,normal,
synthetic_normal_refund_0207,normal,
synthetic_normal_refund_0208,normal,
synthetic_normal_refund_0209,normal,
synthetic_normal_refund_0210,normal,
synthetic_normal_refund_0211,normal,
synthetic_normal_refund_0212,normal,
synthetic_normal_refund_0213,normal,
synthetic_normal_refund_0214,normal,
synthetic_normal_refund_0215,normal,
synthetic_normal_refund_0216,normal,
synthetic_normal_refund_0217,normal,
synthetic_normal_refund_0218,normal,
synthetic_normal_refund_0219,normal,
synthetic_normal_refund_0220,normal,
synthetic_normal_refund_0221,normal,
synthetic_normal_refund_0222,normal,
synthetic_normal_refund_0223,normal,
synthetic_normal_refund_0224,normal,
synthetic_normal_refund_0225,normal,
synthetic_normal_refund_0226,normal,
synthetic_normal_refund_0227,normal,
synthetic_normal_refund_0228,normal,
synthetic_normal_refund_0229,normal,
synthetic_normal_refund_0230,normal,
synthetic_normal_refund_0231,normal,
synthetic_normal_refund_0232,normal,
synthetic_normal_refund_0233,normal,
synthetic_normal_refund_0234,normal,
synthetic_normal_refund_0235,normal,
synthetic_normal_refund_0236,normal,
synthetic_normal_refund_0237,normal,
synthetic_normal_refund_0238,normal,
synthetic_normal_refund_0239,normal,
synthetic_normal_refund_0240,normal,
synthetic_normal_refund_0241,normal,
synthetic_normal_refund_0242,normal,
synthetic_normal_refund_0243,normal,
synthetic_normal_refund_0244,normal,
synthetic_normal_refund_0245,normal,
synthetic_normal_refund_0246,normal,
synthetic_normal_refund_0247,normal,
synthetic_normal_refund_0248,normal,
synthetic_normal_refund_0249,normal,
synthetic_normal_refund_0250,normal,
synthetic_normal_refund_0251,normal,
synthetic_normal_refund_0252,normal,
synthetic_normal_refund_0253,normal,
synthetic_normal_refund_0254,normal,
synthetic_normal_refund_0255,normal,
synthetic_normal_refund_0256,normal,
synthetic_normal_refund_0257,normal,
synthetic_normal_refund_0258,normal,
synthetic_normal_refund_0259,normal,
synthetic_normal_refund_0260,normal,
synthetic_normal_refund_0261,normal,
synthetic_normal_refund_0262,normal,
synthetic_normal_refund_0263,normal,
synthetic_normal_refund_0264,normal,
synthetic_normal_refund_0265,normal,
synthetic_normal_refund_0266,normal,
synthetic_normal_refund_0267,normal,
synthetic_normal_refund_0268,normal,
synthetic_normal_refund_0269,normal,
synthetic_normal_refund_0270,normal,
synthetic_normal_refund_0271,normal,
synthetic_normal_refund_0272,normal,
synthetic_normal_refund_0273,normal,
synthetic_normal_refund_0274,normal,
synthetic_normal_refund_0275,normal,
synthetic_normal_refund_0276,normal,
synthetic_normal_refund_0277,normal,
synthetic_normal_refund_0278,normal,
synthetic_normal_refund_0279,normal,
synthetic_normal_refund_0280,normal,
synthetic_normal_refund_0281,normal,
synthetic_normal_refund_0282,normal,
synthetic_normal_refund_0283,normal,
synthetic_normal_refund_0284,normal,
synthetic_normal_refund_0285,normal,
synthetic_normal_refund_0286,normal,
synthetic_normal_refund_0287,normal,
synthetic_normal_refund_0288,normal,
synthetic_normal_refund_0289,normal,
synthetic_normal_refund_0290,normal,
synthetic_normal_refund_0291,normal,
synthetic_normal_refund_0292,normal,
synthetic_normal_refund_0293,normal,
synthetic_normal_refund_0294,normal,
synthetic_normal_refund_0295,normal,
synthetic_normal_refund_0296,normal,
synthetic_normal_refund_0297,normal,
synthetic_normal_refund_0298,normal,
synthetic_normal_refund_0299,normal,
synthetic_normal_refund_0300,normal,
synthetic_normal_refund_0301,normal,
synthetic_normal_refund_0302,normal,
synthetic_normal_refund_0303,normal,
synthetic_normal_refund_0304,normal,
synthetic_normal_refund_0305,normal,
synthetic_normal_refund_0306,normal,
synthetic_normal_refund_0307,normal,
synthetic_normal_refund_0308,normal,
synthetic_normal_refund_0309,normal,
synthetic_normal_refund_0310,normal,
synthetic_normal_refund_0311,normal,
synthetic_normal_refund_0312,normal,
synthetic_normal_refund_0313,normal,
synthetic_normal_refund_0314,normal,
synthetic_normal_refund_0315,normal,
synthetic_normal_refund_0316,normal,
synthetic_normal_refund_0317,normal,
synthetic_normal_refund_0318,normal,
synthetic_normal_refund_0319,normal,
synthetic_normal_refund_0320,normal,
synthetic_normal_refund_0321,normal,
synthetic_normal_refund_0322,normal,
synthetic_normal_refund_0323,normal,
synthetic_normal_refund_0324,normal,
synthetic_normal_refund_0325,normal,
synthetic_normal_refund_0326,normal,
synthetic_normal_refund_0327,normal,
synthetic_normal_refund_0328,normal,
synthetic_normal_refund_0329,normal,
synthetic_normal_refund_0330,normal,
synthetic_normal_refund_0331,normal,
synthetic_normal_refund_0332,normal,
synthetic_normal_refund_0333,normal,
synthetic_normal_refund_0334,normal,
synthetic_normal_refund_0335,normal,
synthetic_normal_refund_0336,normal,
synthetic_normal_refund_0337,normal,
synthetic_normal_refund_0338,normal,
synthetic_normal_refund_0339,normal,
synthetic_normal_refund_0340,normal,
synthetic_normal_refund_0341,normal,
synthetic_normal_refund_0342,normal,
synthetic_normal_refund_0343,normal,
synthetic_normal_refund_0344,normal,
synthetic_normal_refund_0345,normal,
synthetic_normal_refund_0346,normal,
synthetic_normal_refund_0347,normal,
synthetic_normal_refund_0348,normal,
synthetic_normal_refund_0349,normal,
synthetic_normal_refund_0350,normal,
synthetic_normal_refund_0351,normal,
synthetic_normal_refund_0352,normal,
synthetic_normal_refund_0353,normal,
synthetic_normal_refund_0354,normal,
synthetic_normal_refund_0355,normal,
synthetic_normal_refund_0356,normal,
synthetic_normal_refund_0357,normal,
synthetic_normal_refund_0358,normal,
synthetic_normal_refund_0359,normal,
synthetic_normal_low_volume_0000,normal,
synthetic_normal_low_volume_0001,normal,
synthetic_normal_low_volume_0002,normal,
synthetic_normal_low_volume_0003,normal,
synthetic_normal_low_volume_0004,normal,
synthetic_normal_low_volume_0005,normal,
synthetic_normal_low_volume_0006,normal,
synthetic_normal_low_volume_0007,normal,
synthetic_normal_low_volume_0008,normal,
synthetic_normal_low_volume_0009,normal,
synthetic_normal_low_volume_0010,normal,
synthetic_normal_low_volume_0011,normal,
synthetic_normal_low_volume_0012,normal,
synthetic_normal_low_volume_0013,normal,
synthetic_normal_low_volume_0014,normal,
synthetic_normal_low_volume_0015,normal,
synthetic_normal_low_volume_0016,normal,
synthetic_normal_low_volume_0017,normal,
synthetic_normal_low_volume_0018,normal,
synthetic_normal_low_volume_0019,normal,
synthetic_normal_low_volume_0020,normal,
synthetic_normal_low_volume_0021,normal,
synthetic_normal_low_volume_0022,normal,
synthetic_normal_low_volume_0023,normal,
synthetic_normal_low_volume_0024,normal,
synthetic_normal_low_volume_0025,normal,
synthetic_normal_low_volume_0026,normal,
synthetic_normal_low_volume_0027,normal,
synthetic_normal_low_volume_0028,normal,
synthetic_normal_low_volume_0029,normal,
synthetic_normal_low_volume_0030,normal,
synthetic_normal_low_volume_0031,normal,
synthetic_normal_low_volume_0032,normal,
synthetic_normal_low_volume_0033,normal,
synthetic_normal_low_volume_0034,normal,
synthetic_normal_low_volume_0035,normal,
synthetic_normal_low_volume_0036,normal,
synthetic_normal_low_volume_0037,normal,
synthetic_normal_low_volume_0038,normal,
synthetic_normal_low_volume_0039,normal,
synthetic_normal_low_volume_0040,normal,
synthetic_normal_low_volume_0041,normal,
synthetic_normal_low_volume_0042,normal,
synthetic_normal_low_volume_0043,normal,
synthetic_normal_low_volume_0044,normal,
synthetic_normal_low_volume_0045,normal,
synthetic_normal_low_volume_0046,normal,
synthetic_normal_low_volume_0047,normal,
synthetic_normal_low_volume_0048,normal,
synthetic_normal_low_volume_0049,normal,
synthetic_fail_missing_tool_0000,failure,missing_critical_tool
synthetic_fail_missing_tool_0001,failure,missing_critical_tool
synthetic_fail_missing_tool_0002,failure,missing_critical_tool
synthetic_fail_missing_tool_0003,failure,missing_critical_tool
synthetic_fail_missing_tool_0004,failure,missing_critical_tool
synthetic_fail_missing_tool_0005,failure,missing_critical_tool
synthetic_fail_missing_tool_0006,failure,missing_critical_tool
synthetic_fail_missing_tool_0007,failure,missing_critical_tool
synthetic_fail_missing_tool_0008,failure,missing_critical_tool
synthetic_fail_missing_tool_0009,failure,missing_critical_tool
synthetic_fail_missing_tool_0010,failure,missing_critical_tool
synthetic_fail_missing_tool_0011,failure,missing_critical_tool
synthetic_fail_schema_break_0000,failure,schema_break
synthetic_fail_schema_break_0001,failure,schema_break
synthetic_fail_schema_break_0002,failure,schema_break
synthetic_fail_schema_break_0003,failure,schema_break
synthetic_fail_schema_break_0004,failure,schema_break
synthetic_fail_schema_break_0005,failure,schema_break
synthetic_fail_schema_break_0006,failure,schema_break
synthetic_fail_schema_break_0007,failure,schema_break
synthetic_fail_schema_break_0008,failure,schema_break
synthetic_fail_schema_break_0009,failure,schema_break
synthetic_fail_schema_break_0010,failure,schema_break
synthetic_fail_schema_break_0011,failure,schema_break
synthetic_fail_outcome_mismatch_0000,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0001,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0002,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0003,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0004,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0005,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0006,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0007,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0008,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0009,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0010,failure,outcome_mismatch
synthetic_fail_outcome_mismatch_0011,failure,outcome_mismatch
synthetic_fail_latency_cost_0000,failure,latency_cost_spike
synthetic_fail_latency_cost_0001,failure,latency_cost_spike
synthetic_fail_latency_cost_0002,failure,latency_cost_spike
synthetic_fail_latency_cost_0003,failure,latency_cost_spike
synthetic_fail_latency_cost_0004,failure,latency_cost_spike
synthetic_fail_latency_cost_0005,failure,latency_cost_spike
synthetic_fail_latency_cost_0006,failure,latency_cost_spike
synthetic_fail_latency_cost_0007,failure,latency_cost_spike
